Met file for Metolius, Oregon, USA

&environ
difsky = 0.0
ca = 398.87307002019
press = 87139.6780607746
/

&latlong
lat=50 0 0.0
long=121 33 26.64
tzlong=120
lonhem='W'
lathem='N'
/

startdate and enddate format: dd/mm/yy
&metformat
dayorhr=1
khrsperday=48
nocolumns=9											
startdate='01/01/14'
enddate='31/12/14'
columns='DATE'	'TAIR'	'WIND'	'RH%'	'PRESS'	'RAD'	'PAR'	'TSOIL'	'CA'										
/

DATA STARTS
1	5.108	1.138336581	73.24	87842	-78.27	0	-9999	398.1081265			
1	5.0327	2.234306133	71.397	87815	-79.773	0	-9999	398.1205742			
1	4.7867	1.831709241	70.593	87805	-79.61	0	-9999	398.0921224			
1	4.7847	2.033709024	68.497	87818	-79.483	0	-9999	398.2726137			
1	4.238	2.343073046	66.093	87825	-76.91	0	-9999	398.2743919			
1	3.575	1.403680016	65.233	87857	-75.21	0	-9999	398.497561			
1	3.3067	0.998668196	72.607	87858	-74.48	0	-9999	398.3953122			
1	2.5667	1.705979474	77.62	87860	-77.347	0	-9999	398.6327072			
1	2.079	1.91854349	81.4	87879	-78.483	0	-9999	398.4166511			
1	2.6203	1.537603309	75.487	87884	-76.837	0	-9999	399.069265			
1	3.092	0.720364196	69.683	87883	-74.797	0	-9999	399.6587514			
1	3.401	0.527538288	68.873	87889	-75.387	0	-9999	399.321775			
1	3.5313	1.619978904	64.177	87889	-75.497	0	-9999	399.017696			
1	3.3943	1.687749935	64.433	87898	-76.2	0	-9999	399.2782081			
1	3.5963	1.445599857	63.45	87888	-76.49	0	-9999	399.3342227			
1	3.6587	1.905440448	63.237	87891	-75.333	15.45	-9999	399.1670682			
1	3.558	2.462121104	62.857	87890	-33.11	90.28	-9999	399.2790972			
1	4.015	1.976898701	60.483	87907	10.025	202.47	0.035	399.0799344			
1	4.7743	1.260780711	56.617	87926	70.657	353.83	0.07	395.6			
1	5.053	1.238128012	56.157	87936	130.8	491.7	0.106	395.1			
1	5.739	1.484104081	54.74	87959	153.57	551	0.16	395.8			
1	6.2433	1.405442915	53.213	87948	210.9	685.43	0.218	396.2			
1	6.7373	2.120105151	54.503	87911	239.07	752.67	0.335	396.5			
1	6.7623	2.712299043	56.64	87873	234.87	745.27	0.427	396.7			
1	7.325	1.885070778	53.957	87841	242.27	778.03	0.454	396.4			
1	8.0403	1.767278165	50.003	87809	222.93	731.37	0.495	396.3			
1	7.94	1.953947028	50.973	87790	143.07	546.47	0.543	396.3			
1	7.6767	1.627163146	52.347	87773	105.27	477.8	0.564	396.5			
1	7.91	0.723106792	50.527	87771	97.7	449.9	0.577	396			
1	7.398	1.449055107	54.607	87772	54.853	338.57	0.613	395.5			
1	6.5873	1.033799415	58.16	87784	16.373	251.8	0.601	396.8			
1	6.4053	0.973166694	58.66	87779	-29.353	188.27	0.531	397			
1	5.9733	1.246368253	61.013	87777	-83.63	48.8	0.414	397.6			
1	5.7617	0.804975633	62.307	87776	-86.4	5.9	0.297	398.3			
1	5.9583	0.406280827	62.097	87780	-80.62	0	0.261	399.1			
1	6.115	1.05684823	60.777	87785	-77.677	0	0.231	399.3			
1	6.026	1.379619291	60.15	87780	-74.78	0	0.208	399.8			
