Met file for roof of Peavy Hall, OSU, Oregon, USA
Note on data: Lines 1014-1156: Missing PAR data. PAR set to -9999; Lines 415-416: Missing TAIR, WIND, RH%, PRESS, & PAR. TAIR, WIND, RH% set to weighted average of values before and after. PAR set to -9999; Line 1394: Missing TAIR, WIND, RH%, PRESS, & PAR. TAIR, WIND, RH% set to average of values before and after. PAR set to -9999

&environ
difsky = 0.0
ca = 400.0
press = 100650.321378668
/

&latlong
lat=44.564274
long=-123.2845069
tzlong=120
lonhem='W'
lathem='N'
/

startdate and enddate format: dd/mm/yy
&metformat
dayorhr=1
khrsperday=48
nocolumns=6
startdate='29/02/14'
enddate='13/04/14'
columns='DATE'	'TAIR'	'WIND'	'RH%'	'PRESS'	'PAR'
/

DATA STARTS
60	9.69	0.63	67.39	98900	0
60	9.42	0.64	74.43	98900	0
60	9.04	0.49	78.31	99000	0
60	9	0.73	77.23	99000	0
60	8.77	0.63	78.62	99000	0
60	8.79	0.36	78.62	99070	0
60	8.8	0.55	78.99	99100	0
60	8.47	1.07	81.42	99100	0
60	8.2	0.62	84.09	99100	0
60	8.19	0.63	84.51	99200	0
60	8.15	0.7	83.73	99200	0
60	8.1	0.67	82.02	99200	0
60	8.02	0.95	82.67	99300	0.00475
60	8.06	0.49	81.96	99300	0.01471
60	7.93	0.69	83.02	99340	0.03507
60	7.8	0.69	83.97	99400	0.05787
60	8.14	0.31	81.85	99400	0.11178
60	8.65	0.56	79.39	99400	0.15086
60	8.63	0.76	82.48	99500	0.20481
60	9.33	0.97	83.65	99500	0.19062
60	9.78	0.81	83.88	99500	0.4034
60	10.22	0.76	83.87	99500	0.14981
60	10.64	0.42	83.87	99500	0.26704
60	11.24	0.47	85.02	99500	0.19556
60	11.64	1.07	87.05	99500	0.30614
60	12.89	1.16	83.33	99500	0.67642
60	13.87	1.1	78.5	99500	0.50252
60	14.12	1.41	72.85	99500	0.30504
60	13.91	2.32	74.31	99500	0.49855
60	14.24	2.03	67.89	99500	0.26218
60	13.34	1.78	74.07	99500	0.16458
60	11.87	1.58	79.1	99500	0.13459
60	10.42	1.78	84.71	99500	0.18702
60	10.35	1.29	83.6	99600	0.20651
60	9.81	1.36	84.84	99600	0.04527
60	9.08	1.3	86.19	99600	0.01014
60	9	0.9	86.32	99600	0
60	8.38	1.21	88.44	99700	0
60	8.21	1.09	89.41	99670	0
60	8.06	1.06	89.47	99700	0
60	8.03	0.68	89.9	99700	0
60	8.16	0.58	88.35	99700	0
60	8.09	0.58	88.47	99700	0
60	8.25	0.53	87.97	99700	0
60	7.98	0.88	88.62	99700	0
60	7.74	0.8	89.67	99700	0
60	7.47	0.76	89.2	99710	0
60	7.85	0.67	87.87	99790	0
61	7.36	0.62	89.14	99800	0
61	7.3	0.57	89.14	99800	0
61	7.11	0.5	90.01	99800	0
61	7.31	0.85	89.61	99800	0
61	7.29	0.54	89.05	99800	0
61	7.1	0.94	89.87	99780	0
61	7.09	0.87	89.75	99700	0
61	7.05	0.75	90.49	99700	0
61	7.15	0.68	90.41	99700	0
61	7.15	0.83	90.01	99700	0
61	6.94	0.73	90.79	99600	0
61	7.06	0.73	90.56	99600	0
