Met file for Wind River, Washington, USA

&environ
difsky = 0.0
ca = 410.663661655329
press = 96777.473218838
/

&latlong
lat=45 49 13.8
long=121 57	6.8394
tzlong=120
lonhem='W'
lathem='N'
/

startdate and enddate format: dd/mm/yy
&metformat
dayorhr=1
khrsperday=48
nocolumns=9
startdate='01/01/14'
enddate='31/12/14'
columns='DATE'	'TAIR'	'WIND'	'RH%'	'PRESS'	'RAD'	'PAR'	'TSOIL'	'CA'
/

DATA STARTS
1	4.729594	0.2638971	96.4701	97705.04	0	0	2.277733333	406.4414417
1	4.598082	1.004917	91.89523	97700.46	0	0	2.2815	407.7050935
1	4.00394	0.8306622	92.74747	97706.15	0	0	2.2782	408.7749411
1	3.853681	1.508512	93.04909	97716.33	0	0	2.269733333	407.3856898
1	3.769433	1.309308	90.83253	97732.94	0	0	2.261266667	406.9600337
1	3.311069	1.229007	92.58018	97736.26	0	0	2.251566667	407.663516
1	2.721922	0.6535678	97.17527	97740.28	0	0	2.252766667	409.1876373
1	2.1074	1.256233	99.40553	97757.81	0	0	2.2069	411.1249796
1	2.099265	0.5604263	100	97762.01	0	0	2.217166667	409.2704783
1	1.769428	0.9605118	100	97758.08	0	0	2.202633333	410.2923615
1	1.40016	1.121041	100	97742.54	0	0	2.197066667	410.1365145
1	1.250047	0.5782571	100	97740.84	0	0	2.181666667	411.4383316
1	0.8808438	1.002198	100	97758.46	0	0	2.1733	410.7477375
1	0.6847837	0.8229493	100	97776.73	0	0	2.155733333	411.1693747
1	0.639016	0.6748663	100	97778.6	0	0	2.137	411.410418
1	0.4258173	0.7813358	100	97790.25	0	0	2.127333333	412.4089163
1	0.135268	0.839455	100	97779.43	0	0	2.1225	413.3441834
1	0.6910558	0.4817454	100	97790.88	40.14	83.6	2.098333333	410.8612227
1	0.5336862	0.7064193	100	97822.39	89.7	196.3	2.102666667	411.7600714
1	0.962014	0.5382464	100	97829.64	151.1	322.2	2.095333333	410.7660567
1	2.608499	0.3524875	93.44466	97817.48	203.3	450	2.0946	407.9145619
1	3.152689	0.2723764	90.99584	97801.86	242.3	544.3	2.0992	405.2415475
1	3.735148	0.1896362	89.3183	97775.26	207.6	475.4	2.103966667	403.0068881
1	4.24188	0.500249	88.25884	97747.02	224.4	516.1	2.1228	399.8917889
1	5.531956	0.1543482	84.39293	97718.11	265.4	601.3	2.132233333	396.1444538
1	6.792961	0.2934235	78.79643	97691.2	304.2	687.8	2.144	394.3117524
1	7.429552	0.3352835	76.45065	97664.56	238.5	554.2	2.157966667	393.2288935
1	7.648275	0.4751422	75.54823	97642.37	252.8	586.3	2.1896	391.635484
1	7.686649	0.6954535	75.53523	97624.93	230.1	534.7	2.225933333	390.9834119
1	8.466001	0.3439671	72.6244	97614.44	234.5	542.2	2.253633333	389.2557799
1	8.405783	0.8564523	71.41325	97594.53	203.8	469.7	2.284366667	388.1670126
1	7.660787	0.9848535	74.27914	97572.66	99.3	234.2	2.310866667	388.5723111
1	6.994631	0.9728085	78.72057	97560.52	38.12	89.2	2.348	386.8191053
1	6.913229	0.8848903	79.48956	97564	11.6	27.85	2.3672	387.1607348
1	6.71752	0.5718843	81.80939	97581.41	0	0	2.3881	385.8938859
