Program:    MAESPA                                                                          
Water balance parameters:Tumbarumba example water balance                       
                                                                                
Half-hourly water and heat balance components.
wsoil: total soil water storage                       mm
wsoilroot: soil water storage in rooted zone          mm
ppt : precipitation                                   mm
canopystore : storage of intercepted rain             mm
evapstore : evaporation of wet canopy                 mm
drainstore : drainage of wet canopy                   mm
tfall : throughfall of rain                           mm
et : modelled canopy transpiration                    mm
etmeas: measured ET, if provided in input             mm
discharge: drainage at bottom of profile              mm
overflow: over-land flow                              mm
weightedswp: soil water potential weighted by roots  MPa
ktot: soil to leaf hydr. cond.        mmol m-2 s-1 MPa-1
drythick: thickness of dry surface layer              mm
soilevap: soil evaporation                            mm
soilmoist: measured soil water content      (units vary)
fsoil: soil water modifier function                (0-1)
qh: sensible heat flux                             W m-2
qe: latent heat flux                               W m-2
qn: net radiation                                  W m-2
qc: soil heat transport                            W m-2
rglobund: net radiation underneath canopy          W m-2
rglobabv: net radiation above canopy               W m-2
radinterc: total radiation intercepted by canopy   W m-2
rnet: net radiation above the canopy               W m-2
totlai: leaf area index                           m2 m-2
tair: air temperature                              deg C
soilt1, soilt2: soil T in 1st and 2nd layer        deg C
fracw1,fracw2: water content 1st and 2nd layer    m3 m-3
FracaPAR: fraction of absorbed PAR
                                                                                
Columns: day hour wsoil wsoilroot ppt canopystore         evapstore drainstore tfall et etmeas discharge overflow  weightedswp ktot drythick soilevap                 soilmoist fsoil qh qe qn qc rglobund                     rglobabv radinterc rnet totlai tair soilt1 soilt2        fracw1 fracw2 fracaPAR
      0      0     2880.0002      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000
      1      1     2879.9780      1379.9780         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0109         0.0000         0.0010         0.0202         0.4000         1.0000        17.3020       -27.8837       -38.1648        48.7467       355.3712       345.1992         0.0071         4.9689         0.0015         8.9496         8.7640        13.5352         0.3996         0.4000            NaN
      1      2     2879.9580      1379.9580         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0109         0.0000         0.0010         0.0183         0.4000         1.0000        22.3950       -25.1773       -37.5910        40.3723       353.8069       343.6322         0.0045         5.3054         0.0015         8.6420         8.3688        12.5883         0.3992         0.4000            NaN
      1      3     2879.9370      1379.9370         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0109         0.0000         0.0010         0.0192         0.4000         1.0000        30.6911       -26.4167       -37.5032        33.2253       353.7203       343.5056         0.0043         5.3401         0.0015         8.6278         8.3353        11.9786         0.3988         0.4000            NaN
      1      4     2879.9180      1379.9178         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0109         0.0000         0.0010         0.0174         0.4000         1.0000        29.7251       -24.0236       -37.4428        31.7373       351.4194       341.2256         0.0045         5.0763         0.0015         8.1718         7.9148        11.4669         0.3985         0.4000            NaN
      1      5     2879.9048      1379.9048         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0109         0.0000         0.0010         0.0113         0.4000         1.0000        18.0340       -15.5569       -37.1829        34.7061       346.7224       336.6917         0.0046         4.7947         0.0015         7.2250         7.0216        10.9080         0.3983         0.4000            NaN
      1      6     2879.8911      1379.8910         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0109         0.0000         0.0010         0.0120         0.4000         1.0000        22.6592       -16.5795       -36.8078        30.7283       346.8841       336.7783         0.0042         5.1190         0.0015         7.2628         6.9715        10.5255         0.3980         0.4000            NaN
      1      7     2879.8801      1379.8800         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0109         0.0000         0.0010         0.0091         0.4000         1.0000        16.0544       -12.6167       -35.6098        32.1720       345.1369       334.9794         0.0043         6.0032         0.0015         6.9166         6.4032        10.1250         0.3978         0.4000            NaN
      1      8     2879.8672      1379.8672         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0109         0.0000         0.0010         0.0110         0.4000         1.0000        23.3544       -15.1962       -36.6658        28.5061       344.2752       334.1442         0.0041         4.8445         0.0015         6.7415         6.4719         9.8694         0.3976         0.4000            NaN
      1      9     2879.8574      1379.8573         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0109         0.0000         0.0010         0.0081         0.4000         1.0000        19.7269       -11.2275       -35.9866        27.4876       344.3781       334.3365         0.0042         5.6285         0.0015         6.7556         6.3462         9.6547         0.3975         0.4000            NaN
      1     10     2879.8438      1379.8436         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0109         0.0000         0.0010         0.0119         0.4000         1.0000        31.3715       -16.4010       -36.4729        21.5017       346.8708       336.7540         0.0040         5.4409         0.0015         7.2610         6.8983         9.6285         0.3972         0.4000            NaN
      1     11     2879.8252      1379.8251         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0109         3.0000         0.0010         0.0168         0.4000         1.0000        23.6210       -23.2062       -14.0144        13.5983       378.8148       376.8742         0.0074        32.6302         0.0015         8.1386         7.8850         9.8184         0.3969         0.4000         0.0002
      1     12     2879.8000      1379.8000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000        -0.0109         3.0000         0.0010         0.0231         0.3999         1.0000        -0.3202       -31.8110        27.5499         4.5817       435.3405       440.9487         0.0154        72.1330         0.0015         9.2253         9.2308        10.2268         0.3964         0.4000         0.0002
      1     13     2879.7639      1379.7639         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000         0.0018         0.0000        -0.0109         3.0000         0.0010         0.0344         0.3999         1.0000       -12.1316       -47.2602        67.5230        -8.1321       494.1345       508.7484         0.0225       112.3653         0.0015        10.9947        11.2702        10.9371         0.3957         0.4000         0.0002
      1     14     2879.7166      1379.7164         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000         0.0018         0.0000        -0.0109         3.0000         0.0010         0.0456         0.3999         1.0000       -33.8526       -62.5910       115.3307       -18.8876       562.7124       589.8580         0.0309       162.2722         0.0015        12.0232        13.3618        11.8489         0.3948         0.4000         0.0002
      1     15     2879.6528      1379.6528         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000         0.0018         0.0000        -0.0109         3.0000         0.0010         0.0616         0.3999         1.0000       -74.7931       -84.3716       186.5051       -27.3398       658.4930       702.4222         0.0423       235.4411         0.0015        12.3329        15.3613        12.8738         0.3936         0.4000         0.0002
