Program:    MAESPA                                                                          
Water balance parameters:Tumbarumba example water balance                       
                                                                                
Half-hourly water and heat balance components.
wsoil: total soil water storage                       mm
wsoilroot: soil water storage in rooted zone          mm
ppt : precipitation                                   mm
canopystore : storage of intercepted rain             mm
evapstore : evaporation of wet canopy                 mm
drainstore : drainage of wet canopy                   mm
tfall : throughfall of rain                           mm
et : modelled canopy transpiration                    mm
etmeas: measured ET, if provided in input             mm
discharge: drainage at bottom of profile              mm
overflow: over-land flow                              mm
weightedswp: soil water potential weighted by roots  MPa
ktot: soil to leaf hydr. cond.        mmol m-2 s-1 MPa-1
drythick: thickness of dry surface layer              mm
soilevap: soil evaporation                            mm
soilmoist: measured soil water content      (units vary)
fsoil: soil water modifier function                (0-1)
qh: sensible heat flux                             W m-2
qe: latent heat flux                               W m-2
qn: net radiation                                  W m-2
qc: soil heat transport                            W m-2
rglobund: net radiation underneath canopy          W m-2
rglobabv: net radiation above canopy               W m-2
radinterc: total radiation intercepted by canopy   W m-2
rnet: net radiation above the canopy               W m-2
totlai: leaf area index                           m2 m-2
tair: air temperature                              deg C
soilt1, soilt2: soil T in 1st and 2nd layer        deg C
fracw1,fracw2: water content 1st and 2nd layer    m3 m-3
FracaPAR: fraction of absorbed PAR
                                                                                
Columns: day hour wsoil wsoilroot ppt canopystore         evapstore drainstore tfall et etmeas discharge overflow  weightedswp ktot drythick soilevap                 soilmoist fsoil qh qe qn qc rglobund                     rglobabv radinterc rnet totlai tair soilt1 soilt2        fracw1 fracw2 fracaPAR
      0      0     2880.0002      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000
      1      1     2879.8813      1379.8812         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0036         0.0000        -0.0109         0.0000         0.0010         0.1153         0.4000         1.0000       127.6932       -78.8721       -37.8350       -10.9873       400.9551       391.4035        15.4803        12.7567         1.4518        17.5000        16.4056        15.5495         0.3977         0.4000            NaN
      1      2     2879.7488      1379.7487         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0036         0.0000        -0.0109         0.0000         0.0010         0.1289         0.4000         1.0000       135.6657       -88.1154       -38.1654        -9.3835       402.7033       393.0165        16.9576        12.5533         1.4518        17.8227        16.7522        15.8758         0.3951         0.4000            NaN
      1      3     2879.6133      1379.6132         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0036         0.0000        -0.0109         0.0000         0.0010         0.1320         0.3999         1.0000       134.2338       -90.2251       -37.4929        -6.5143       403.2495       393.4360        17.2472        13.1810         1.4518        17.9291        16.7125        16.0064         0.3925         0.4000            NaN
      1      4     2879.4968      1379.4967         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0036         0.0000        -0.0109         0.0000         0.0010         0.1128         0.3999         1.0000       114.2674       -77.1830       -36.3242        -0.7591       400.8804       391.1619        17.6926        14.0894         1.4518        17.4980        16.1041        15.8420         0.3902         0.4000            NaN
      1      5     2879.4172      1379.4171         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0036         0.0000        -0.0109         0.0000         0.0010         0.0760         0.3999         1.0000        80.4622       -52.0995       -37.2682         8.9057       391.1789       381.8314        18.9034        12.0611         1.4518        15.7139        14.6935        15.2506         0.3887         0.4000            NaN
      1      6     2879.3557      1379.3557         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0036         0.0000        -0.0109         0.0000         0.0010         0.0579         0.3998         1.0000        69.0940       -39.6595       -36.5158         7.0821       389.9076       380.7768        17.3874        12.8395         1.4518        15.4656        14.3361        14.9035         0.3875         0.4000            NaN
      1      7     2879.2190      1379.2190         0.0000         0.0000         0.0000         0.0000         0.0000         0.0255         0.0000         0.0036         0.0000        -0.0109         2.9919         0.0011         0.1076         0.3998         1.0000       102.1587       -73.6445       -19.8384        -8.6757       419.7902       463.6144        51.3135        69.8554         1.4518        17.0752        16.0250        15.4113         0.3853         0.3999         0.7704
      1      8     2879.0393      1379.0392         0.0000         0.0000         0.0000         0.0000         0.0000         0.0709         0.0000         0.0036         0.0000        -0.0109         2.9919         0.0012         0.1051         0.3998         1.0000       100.8468       -71.8728       -17.3161       -11.6578       428.2762       601.3638       150.6398       160.6968         1.4518        18.2592        16.9211        15.9118         0.3830         0.3997         0.9856
      1      9     2878.8181      1378.8181         0.0000         0.0000         0.0000         0.0000         0.0000         0.0910         0.0000         0.0036         0.0000        -0.0109         2.9918         0.0014         0.1266         0.3997         1.0000        60.9952       -86.4468        44.8168       -19.3662       510.7507       815.9940       241.0770       318.0258         1.4518        19.0803        18.4251        16.6976         0.3802         0.3995         0.8309
