Program:    MAESPA                                                                          
Control:    Run a single tree in a 10x10 stand of trees.                                    
Trees:       10x10 trees, on one hectare plot.                                              
Structure:                                                                      Multispecies
Physiology:                                                                     Multispecies
Met data:   HFE Met station 2008-2-20 to 2009-3-16                                          
                                                                                
Hourly maintenance respiration components
Rmf: Foliage maintenance resp.    umol m-2 s-1
Rmw: Stem maintenance resp.       umol m-2 s-1
RmB: Branch maintenance resp.     umol m-2 s-1
Rmcr: Coarse root maintenance resp. umol m-2 s-1
Rmfr: Fine root maintenance resp. umol m-2 s-1
                                                                                
Columns: DOY, Hr, Rmf, Rmw, Rmb, Rmcr, Rmfr
