Program:    MAESPA                                                                          
Water balance parameters:Example water balance parameters.                      
                                                                                
Half-hourly water and heat balance components.
wsoil: total soil water storage                       mm
wsoilroot: soil water storage in rooted zone          mm
ppt : precipitation                                   mm
canopystore : storage of intercepted rain             mm
evapstore : evaporation of wet canopy                 mm
drainstore : drainage of wet canopy                   mm
tfall : throughfall of rain                           mm
et : modelled canopy transpiration                    mm
etmeas: measured ET, if provided in input             mm
discharge: drainage at bottom of profile              mm
overflow: over-land flow                              mm
weightedswp: soil water potential weighted by roots  MPa
ktot: soil to leaf hydr. cond.        mmol m-2 s-1 MPa-1
drythick: thickness of dry surface layer              mm
soilevap: soil evaporation                            mm
soilmoist: measured soil water content      (units vary)
fsoil: soil water modifier function                (0-1)
qh: sensible heat flux                             W m-2
qe: latent heat flux                               W m-2
qn: net radiation                                  W m-2
qc: soil heat transport                            W m-2
rglobund: net radiation underneath canopy          W m-2
rglobabv: net radiation above canopy               W m-2
radinterc: total radiation intercepted by canopy   W m-2
rnet: net radiation above the canopy               W m-2
totlai: leaf area index                           m2 m-2
tair: air temperature                              deg C
soilt1, soilt2: soil T in 1st and 2nd layer        deg C
fracw1,fracw2: water content 1st and 2nd layer    m3 m-3
FracaPAR: fraction of absorbed PAR
                                                                                
Columns: day hour wsoil wsoilroot ppt canopystore         evapstore drainstore tfall et etmeas discharge overflow  weightedswp ktot drythick soilevap                 soilmoist fsoil qh qe qn qc rglobund                     rglobabv radinterc rnet totlai tair soilt1 soilt2        fracw1 fracw2 fracaPAR
      0      0      367.8800      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000
      1      1      367.8790       193.7691         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0007         0.0000        -0.0062         0.0000         0.0100         0.0004         0.1938         1.0000       -49.6751        -0.5322       -43.7039        93.9111       394.2099       386.6013        23.8436         7.8189         1.0912        16.1830        16.4315        21.9230         0.1886         0.1961            NaN
      1      2      367.8780       193.7682         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0007         0.0000        -0.0062         0.0000         0.0100         0.0003         0.1938         1.0000       -42.0288        -0.4671       -43.3576        85.8519       392.6419       384.9953        16.8044         7.8921         1.0912        15.9000        16.1100        21.2271         0.1886         0.1961            NaN
      1      3      367.8770       193.7674         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0007         0.0000        -0.0062         0.0000         0.0100         0.0003         0.1938         1.0000       -30.9489        -0.3951       -43.1212        74.4675       393.3785       385.7903        16.2197         8.2974         1.0912        16.0300        16.1847        20.7024         0.1886         0.1961            NaN
      1      4      367.8761       193.7666         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0007         0.0000        -0.0062         0.0000         0.0100         0.0003         0.1938         1.0000       -38.2087        -0.3859       -42.8111        81.4029       387.6695       379.8635        17.4280         7.5333         1.0912        15.0000        15.1903        20.1451         0.1885         0.1961            NaN
      1      5      367.8752       193.7659         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0007         0.0000        -0.0062         0.0000         0.0100         0.0002         0.1938         1.0000       -22.4176        -0.3226       -42.6846        65.4234       391.0146       383.3607        15.3904         8.3137         1.0912        15.6030        15.7149        19.7798         0.1885         0.1961            NaN
      1      6      367.8743       193.7651         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0007         0.0000        -0.0062         0.0000         0.0100         0.0002         0.1938         1.0000       -17.6865        -0.2854       -42.5514        60.5243       390.9659       383.3261        16.1453         8.4537         1.0912        15.5930        15.6813        19.4736         0.1885         0.1961            NaN
      1      7      367.8735       193.7644         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0007         0.0000        -0.0062         0.0000         0.0100         0.0002         0.1938         1.0000        -5.4849        -0.2404       -42.5081        48.2313       394.2392       386.7417        15.4736         9.1303         1.0912        16.1800        16.2074        19.2924         0.1885         0.1961            NaN
      1      8      367.8727       193.7637         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0007         0.0000        -0.0062         0.0000         0.0100         0.0002         0.1938         1.0000        -5.3049        -0.2443       -42.4279        47.9750       393.3279       385.7903        16.3913         9.0337         1.0912        16.0170        16.0435        19.1059         0.1885         0.1961            NaN
      1      9      367.8718       193.7630         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0007         0.0000        -0.0062         0.0000         0.0100         0.0002         0.1938         1.0000       -11.5262        -0.2506       -42.2904        54.0654       389.8284       382.1548        16.8339         8.5102         1.0912        15.3870        15.4445        18.8563         0.1885         0.1960            NaN
