Program:    MAESPA                                                                          
Control:    Run a single tree in a 10x10 stand of trees.                                    
Trees:       10x10 trees, on one hectare plot.                                              
Structure:                                                                      Multispecies
Physiology:                                                                     Multispecies
Met data:   HFE Met station 2008-2-20 to 2009-3-16                                          
                                                                                
Daily maintenance and growth respiration components
Rmf: Foliage maintenance resp.    mol m-2 d-1
Rmw: Stem maintenance resp.       mol m-2 d-1
RmB: Branch maintenance resp.     mol m-2 d-1
Rmcr: Coarse root maintenance resp. mol m-2 d-1
Rmfr: Fine root maintenance resp. mol m-2 d-1
Rgf: Foliage growth resp.         mol m-2 d-1
Rgw: Stem growth resp.            mol m-2 d-1
Rgb: Branch growth resp.          mol m-2 d-1
Rgcr: Coarse root growth resp.    mol m-2 d-1
Rgfr: Fine root growth resp.      mol m-2 d-1
                                                                                
Columns: DOY Tree Species Rmf Rmw Rmb Rmcr Rmfr Rgf Rgw Rgb Rgcr Rgfr
      1   45    1   21.22842    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
